name,type,location,price,duration,rating,cost_per_day,cluster,cluster_label
Voyage Organisé malaisie,offer,Wonderland Travel,265000.0,1.0,,265000.0,0,mid-range
Voyage organisé Egypte & Charam el chikh,offer,Nasser Tours,176000.0,1.0,,176000.0,0,mid-range
Voyage organisé KUALA LUMPUR,offer,Cheval Blanc Voyages,245000.0,1.0,,245000.0,0,mid-range
Voyage Organisé Sénégal,offer,Wonderland Travel,315000.0,1.0,,315000.0,0,mid-range
Voyage organisé la RUSSIE,offer,Wonderland Travel,289000.0,1.0,,289000.0,0,mid-range
voyage organisé djanet,offer,IDCOM TRAVEL,85000.0,1.0,,85000.0,2,budget
Voyage Organise Istanbul,offer,IDCOM TRAVEL,127.0,1.0,,127.0,2,budget
Voyage Organisé à Istanbul en Turquie le Mois d'Avril.,offer,Ancolie Tours,101000.0,1.0,,101000.0,2,budget
Voyage organisé Tunisie par Avion AVRIL / MAI,offer,LOVER TRAVEL,70000.0,1.0,,70000.0,2,budget
Voyage Organisé Istanbul avril 2026,offer,Non Stop Travel,115000.0,1.0,,115000.0,2,budget
Voyage organisé Combiné Kuala Lampur & Lankawi 2026,offer,Non Stop Travel,288000.0,1.0,,288000.0,0,mid-range
VOYAGE ORGANISÉ BALI 2026 A HEAVEN ON EARTH,offer,Non Stop Travel,390000.0,1.0,,390000.0,0,mid-range
Voyage organisé istanbul ( vacances de printemps),offer,Wonderland Travel,99900.0,1.0,,99900.0,2,budget
Voyage organisé vers la tunusie,offer,Nasria Tours,33000.0,1.0,,33000.0,2,budget
Valise pilote style cabine,offer,Valises,27.0,1.0,,27.0,2,budget
Location vacances Appartement F2 Boumerdes Boumerdes,hotel,Immo Atco,9500.0,1.0,,9500.0,2,budget
Location vacances Appartement F3 Oran Bir el djir,hotel,MR Oran Location,8000.0,1.0,,8000.0,2,budget
Location vacances Appartement F5 Alger Zeralda,hotel,Icosuimimmo,150000.0,1.0,,150000.0,2,budget
Location vacances Appartement Alger Bordj el kiffan,hotel,Talamou voyage,15000.0,1.0,,15000.0,2,budget
Location vacances Appartement F2 Alger Ben aknoun,hotel,Garden résidence,16000.0,1.0,,16000.0,2,budget
Location vacances Villa Alger Bordj el bahri,hotel,Talamou voyage,11.0,1.0,,11.0,2,budget
Location vacances Niveau De Villa F2 Alger Bab ezzouar,hotel,Oussama Location Vacance,5500.0,1.0,,5500.0,2,budget
Location vacances Oran Bir el djir,hotel,السمو للترقية العقارية,16000.0,1.0,,16000.0,2,budget
Location vacances Oran Bir el djir,hotel,السمو للترقية العقارية,12000.0,1.0,,12000.0,2,budget
Location vacances Villa Alger Ain taya,hotel,Talamou voyage,30000.0,1.0,,30000.0,2,budget
Location vacances Villa Alger Ain benian,hotel,Talamou voyage,111.0,1.0,,111.0,2,budget
Location vacances Appartement F2 Alger Bachdjerrah,hotel,Appartement,8000.0,1.0,,8000.0,2,budget
Location vacances Appartement Studio Alger Ben aknoun,hotel,Garden résidence,13000.0,1.0,,13000.0,2,budget
Location vacances Villa Alger Bordj el bahri,hotel,Talamou voyage,111.0,1.0,,111.0,2,budget
Location vacances Bungalow F1 Blida Chrea,hotel,Talamou voyage,20000.0,1.0,,20000.0,2,budget
Location vacances Villa Tipaza Bou haroun,hotel,Talamou voyage,25000.0,1.0,,25000.0,2,budget
Location vacances Villa Alger Staoueli,hotel,Talamou voyage,12345.0,1.0,,12345.0,2,budget
Location vacances bien immobilier Blida Bougara,hotel,Appartement,20000.0,1.0,,20000.0,2,budget
Location vacances Appartement F2 Tlemcen Tlemcen,hotel,Appartement,3500.0,1.0,,3500.0,2,budget
Location vacances Villa Tipaza Tipaza,hotel,Talamou voyage,12345.0,1.0,,12345.0,2,budget
Location vacances Appartement F2 Alger Rais hamidou,hotel,chez l'habitant la vigie,9000.0,1.0,,9000.0,2,budget
Location vacances Appartement F2 Alger Ben aknoun,hotel,Garden résidence,15000.0,1.0,,15000.0,2,budget
Location vacances Appartement F3 Oran Bir el djir,hotel,West-immo,12000.0,1.0,,12000.0,2,budget
Location vacances Appartement F3 Oran Bir el djir,hotel,MR Oran Location,12000.0,1.0,,12000.0,2,budget
Location vacances Appartement F3 Sétif Setif,hotel,Elbahdja immo setif,6000.0,1.0,,6000.0,2,budget
Location vacances Appartement F3 Oran Bir el djir,hotel,Elmanzeh Immobilier,15000.0,1.0,,15000.0,2,budget
Location vacances Appartement F2 Oran Ain el turck,hotel,Appartement,6000.0,1.0,,6000.0,2,budget
Location vacances Appartement F5 Alger Dely brahim,hotel,FELOUSSIMMO,10000.0,1.0,,10000.0,2,budget
Location vacances Appartement Niveau de villa F2 Alger Dely brahim,hotel,FELOUSSIMMO,12000.0,1.0,,12000.0,2,budget
Location vacances Appartement F2 Alger Cheraga,hotel,FELOUSSIMMO,8000.0,1.0,,8000.0,2,budget
Location vacances Appartement Niveau de villa F4 Alger Draria,hotel,FELOUSSIMMO,10000.0,1.0,,10000.0,2,budget
Location vacances Villa Alger Baba hassen,hotel,FELOUSSIMMO,65000.0,1.0,,65000.0,2,budget
